HH:MM:SS,DLMACTHP(Mbps),DLGrant,DLSchUserNum,UsFlag,PCI,DLRb_Used,DLSuMcs,DLreduceMcs,DLSchMcs,DLRank,IBLER(%),ResBLER(%),sumPdschDrb(byte),cntDrbIsZero,DLAvailRb,CQI,BwpId,BwpFreqOffset,BwpBw,CRNTI
"11:41:52","0.29","122","1.00","0.00","953.00","16.00","9.71","2.02","2.02","2.0","0.00","0.00","0","122","243.80","10.89","1.00","0.00","245.00","4451|1093"
"11:41:53","0.38","108","1.00","0.00","953.00","16.15","10.61","2.95","2.95","2.0","0.00","0.00","0","108","243.64","11.28","1.00","0.00","245.00","4451|1093"
"11:41:54","0.01","5","1.20","0.00","953.00","22.40","7.75","1.50","1.50","1.8","0.00","0.00","82","3","228.20","9.20","1.00","0.00","245.00","2488|10173"
"11:41:54","0.01","7","1.07","0.00","953.00","16.00","8.47","0.13","0.13","2.0","0.00","0.00","0","7","236.60","6.95","1.00","0.00","245.00","3687|9387"
"11:41:54","0.24","80","1.06","0.00","953.00","16.40","10.22","2.25","2.25","2.0","0.00","0.00","0","80","242.64","11.21","1.00","0.00","245.00","4451|1093"
"11:41:55","0.00","2","1.13","0.00","953.00","16.00","10.00","0.13","0.13","2.0","0.00","0.00","0","2","234.50","7.00","1.00","0.00","245.00","3687|9387"
"11:41:55","0.26","112","1.01","0.00","953.00","16.00","9.58","1.84","1.84","2.0","0.00","0.00","0","111","243.50","10.58","1.00","0.00","245.00","4451|1093"
"11:41:56","3.63","60","1.12","0.00","953.00","142.87","10.06","5.84","5.84","2.0","0.00","0.00","628070","26","242.90","7.08","1.00","0.00","245.00","3687|9387"
"11:41:56","0.27","91","1.04","0.00","953.00","16.05","9.51","2.53","2.53","2.0","0.00","0.00","0","91","243.38","10.60","1.00","0.00","245.00","4451|1093"
"11:41:57","0.00","3","1.33","0.00","953.00","16.00","7.67","1.33","1.33","1.33","0.00","0.00","0","3","224.00","9.33","1.00","0.00","245.00","2488|10173"
"11:41:57","0.01","6","1.17","0.00","953.00","16.00","12.00","0.00","0.00","2.0","0.00","0.00","0","6","241.50","6.67","1.00","0.00","245.00","3687|9387"
"11:41:57","0.39","95","1.08","0.00","953.00","17.01","9.64","2.78","2.78","2.0","0.00","0.00","0","94","241.91","10.78","1.00","0.00","245.00","4451|1093"
"11:41:58","0.00","4","1.25","0.00","953.00","16.00","12.00","0.75","0.75","2.0","0.00","0.00","0","4","234.50","6.50","1.00","0.00","245.00","3687|9387"
"11:41:58","0.26","99","1.01","0.00","953.00","16.00","10.04","1.89","1.89","2.0","0.00","0.00","0","99","242.24","11.04","1.00","0.00","245.00","4451|1093"
"11:41:59","0.29","107","1.00","0.00","953.00","16.00","9.00","2.15","2.15","2.0","0.00","0.00","0","107","242.64","10.48","1.00","0.00","245.00","4451|1093"
"11:42:00","0.24","87","1.00","0.00","953.00","16.18","9.43","2.13","2.13","2.0","0.00","0.00","0","87","242.59","10.87","1.00","0.00","245.00","4451|1093"
"11:42:01","0.01","10","1.10","0.00","953.00","16.00","12.00","0.40","0.40","2.0","0.00","0.00","0","10","242.90","6.40","1.00","0.00","245.00","3687|9387"
"11:42:01","0.56","99","1.01","0.00","953.00","19.07","10.27","3.01","3.01","2.0","0.00","0.00","0","99","242.24","11.23","1.00","0.00","245.00","4451|1093"
