time,down,up,rnti_count,mcs_down,mcs_down_var,mcs_up,mcs_up_var,rb_down,rb_down_var,rb_up,rb_up_var
2025-08-13 11:42:00,2875298.8403211418,250185.41409147094,2668.71,4.204237288135593,14.813481404358322,22.62547589616811,15.569961932896032,32.6643086529884,1513.2410024010778,8.449345679012346,105.14741551694662
2025-08-13 11:44:00,2875298.8403211418,332066.1157024793,6386.42,4.204237288135593,14.813481404358322,21.555195592286502,23.911970840994954,32.6643086529884,1513.2410024010778,11.52023102310231,326.4887312619541
2025-08-13 11:46:00,2875298.8403211418,428065.4911838791,7600.89,4.204237288135593,14.813481404358322,20.722755667506295,29.984222694807844,32.6643086529884,1513.2410024010778,16.21321752265861,767.6776878287311
2025-08-13 11:48:00,2875298.8403211418,569779.6695042563,8356.05,4.204237288135593,14.813481404358322,19.433385077616425,47.71019454753259,32.6643086529884,1513.2410024010778,17.898671328671327,1151.412889987874
2025-08-13 11:50:00,2875298.8403211418,313674.168297456,7525.47,4.204237288135593,14.813481404358322,20.194774951076322,46.58488741873597,32.6643086529884,1513.2410024010778,12.236913700633837,497.30067061645155
2025-08-13 11:52:00,2875298.8403211418,209388.27527612576,8482.56,4.204237288135593,14.813481404358322,20.471703483432456,41.25985230303072,32.6643086529884,1513.2410024010778,9.19071549534293,201.91745340568113
2025-08-13 11:54:00,2875298.8403211418,207616.33919338157,6239.07,4.204237288135593,14.813481404358322,20.253557394002065,51.95378547601104,32.6643086529884,1513.2410024010778,7.8778063851699285,95.93051337207682
2025-08-13 11:56:00,2875298.8403211418,230784.00000000003,6167.7,4.204237288135593,14.813481404358322,21.573877333333332,29.089372524966205,32.6643086529884,1513.2410024010778,9.123698775944652,157.86243237140985
2025-08-13 11:58:00,2875298.8403211418,200358.2240161453,7043.58,4.204237288135593,14.813481404358322,20.731498486377397,49.42691774330923,32.6643086529884,1513.2410024010778,7.8629994967287375,87.90905192497455
2025-08-13 12:00:00,2875298.8403211418,205619.95967741936,7198.95,4.204237288135593,14.813481404358322,21.009692540322582,47.3690556290718,32.6643086529884,1513.2410024010778,8.189466532460996,96.16383496199606
2025-08-13 12:02:00,2875298.8403211418,226037.03703703702,10482.96,4.204237288135593,14.813481404358322,20.386277777777778,44.71622384128447,32.6643086529884,1513.2410024010778,9.599394359685622,165.332309670033
2025-08-13 12:04:00,2906022.584692597,260139.55984970476,8894.55,4.871806775407779,19.773963462954683,23.024294149221685,14.862166190551127,36.03329987452949,1741.2632103218184,9.124245840042942,137.09725043791917
2025-08-13 12:06:00,2849379.939209726,254430.8744504153,10595.0,4.807325227963526,17.15358444708212,20.95094284318515,41.301974819312136,34.250851063829785,1881.5519143604074,9.70617518248175,198.9630046431031
2025-08-13 12:08:00,2539973.1759656654,238710.09490940467,12323.08,3.8130418454935624,12.072915433567395,21.937657463330456,23.12613732413719,37.272789699570815,2339.773513952525,10.179741935483872,229.95164038087867
2025-08-13 12:10:00,2821025.481665631,257179.23115327008,10118.0,4.226848974518334,16.688330052425872,21.414273589615576,27.12648252650996,32.27431323803605,1733.060916832169,11.457997010463378,308.5717081495415
2025-08-13 12:12:00,2547942.8942245296,281309.3375065206,9477.89,4.202491888384166,12.878733656589969,21.479567031820554,27.402047359413572,28.948747566515248,1380.1156062875334,11.565473958333333,285.5340998273567
2025-08-13 12:14:00,2364482.3066841415,217918.03278688528,8603.369999999999,4.271861074705111,15.266578435769047,22.164163934426227,26.089578606243684,34.47726081258192,1986.4422839017645,8.586455488803932,111.295047702799
2025-08-13 12:16:00,2122261.976955731,243100.54482417039,9870.79,3.6887689508793207,9.126579612239235,20.96208519068846,31.040643073016394,30.701546391752576,1598.2907255805226,10.191156126482214,172.30671037798504
2025-08-13 12:18:00,2431916.43454039,177416.34900465905,11929.17,3.3824401114206126,9.18678400909252,20.1831596781025,45.07349221559366,29.826297327394208,1675.6365760875915,8.125101437024515,105.90852766412489
2025-08-13 12:20:00,1660508.8265835927,160962.99243931557,12602.49,3.789896157840083,12.108328612587844,22.427107043374452,20.981554087661365,29.808495070057084,1635.0298127911196,7.504050079491256,76.01228207939948
2025-08-13 12:22:00,2358332.3975294777,431716.2162162162,12414.15,4.373447501403706,16.570211928281672,19.75245045045045,43.45068421340676,29.08888888888889,1528.3229464345893,14.67974358974359,857.2071441736484
2025-08-13 12:24:00,3484367.7581863985,215763.40564879248,13688.59,4.529294710327456,16.371665933767375,20.834412607449856,34.08993179037332,36.590912298387096,2188.901053478941,10.34513480392157,179.93845098304632
2025-08-13 12:26:00,3225869.8296836982,206338.98305084746,10254.15,4.832560827250608,17.120371100984332,21.739709443099272,25.77352859770625,40.740522796352586,2576.597331478345,8.54471186440678,116.18963384377881
2025-08-13 12:28:00,2361187.2415829888,229373.8229755179,10270.810000000001,4.3212817483756645,12.54413907719032,20.926035781544257,33.92526878063143,33.594240992321325,1908.6721830671886,9.360680751173708,151.35976858286074
2025-08-13 12:30:00,2558643.0678466074,187069.80880391286,11311.84,4.367038348082596,13.77874659534082,20.531605157847935,44.294537858265144,33.10658407079646,1812.595848123827,8.808053215077605,111.1941077877611
2025-08-13 12:32:00,2208446.544595393,255399.63669391462,11321.26,4.424683992911991,14.932258129985913,20.866344232515896,31.50771688826517,32.69744831659776,1784.978050104446,11.312037205081669,286.11738962911886
2025-08-13 12:34:00,2692659.520163349,204120.24048096195,14345.56,4.44572741194487,13.495507323002021,19.315575150300603,52.58588097420178,37.5114088820827,2022.508720894524,10.697768,213.49651802538628
