Strategy,Model,Target,MSE,RMSE,MAE,R2,NRMSE,MAPE%,sMAPE%
A_t+1,Base LSTM (t+1),rnti_count,2930217.5515163215,1711.787823159261,1260.7686738411483,0.4852150441411268,0.1253506021644704,25.48787995002293,24.742963129090096
A_t+1,Base LSTM (t+1),rb_down,0.0008234811205194828,0.02869636075392632,0.013704945722883246,0.5592914348841663,0.0913968486858494,47.25888896336146,36.28223367524474
A_t+1,Base LSTM (t+1),rb_up,8.509713310459487e-05,0.009224810735434893,0.004365227250028321,0.6102061644325903,0.1102905010025566,2719.0041335454753,123.9553604736124
A_t+1,Base LSTM (t+1),down,5122881608280305.0,71574308.29760288,41855784.76762364,0.4807012528810609,0.08599463942071732,37.16738762974545,31.2375194720813
A_t+1,Base LSTM (t+1),up,161940634853969.28,12725589.764485152,5653454.725787184,0.5565876152004408,0.10347995292134168,22148424246480.168,95.75564107131352
A_t+1,Basic Multistep LSTM (t+1),rnti_count,2442605.1406036494,1562.8835979060148,1187.2432168733415,0.5708795141044658,0.11444666065501392,27.13494458427016,23.737117034271243
A_t+1,Basic Multistep LSTM (t+1),rb_down,0.0008418669010033238,0.029014942719283867,0.014794006403816815,0.5494517788997562,0.09241152047407745,51.33692807065066,36.843246579436276
A_t+1,Basic Multistep LSTM (t+1),rb_up,9.296143575290618e-05,0.009641651090601971,0.004717115547600634,0.5741831330858072,0.11527418391247955,1738.2007840861495,127.61130039318908
A_t+1,Basic Multistep LSTM (t+1),down,5365461396418861.0,73249309.86991523,44604881.78730321,0.45611130728225624,0.0880071095327751,42.20680179275302,32.55247163417235
A_t+1,Basic Multistep LSTM (t+1),up,183154762530937.44,13533468.237334339,6506344.303155615,0.49850085425147195,0.11004933224943457,13245161568741.748,104.77754838136218
A_t+1,Seq2Seq LSTM (t+1),rnti_count,2955398.399932332,1719.1272204035197,1241.7490625863695,0.4807912354264404,0.12588805070315323,26.038073666200635,24.139383563193757
A_t+1,Seq2Seq LSTM (t+1),rb_down,0.0008406654732116171,0.028994231723079283,0.013568283226912092,0.5500947560184536,0.09234555671642625,39.65673814642204,37.69263612481485
A_t+1,Seq2Seq LSTM (t+1),rb_up,8.587741727697665e-05,0.009267006921168056,0.0037802653043309954,0.606632013937868,0.1107949924873554,700.8415445016439,105.396351701992
A_t+1,Seq2Seq LSTM (t+1),down,5061422162339915.0,71143672.6795849,41276987.69279496,0.48693130380081706,0.08547724210911223,36.965631992657855,31.029401945905988
A_t+1,Seq2Seq LSTM (t+1),up,170746246767077.62,13066990.731116235,5558010.823267258,0.5324768206396335,0.10625610370162847,9577694712637.916,86.46457707628127
A_t+1,Transformer (t+1),rnti_count,2416256.636110003,1554.4312902505544,1151.5454414934334,0.5755084583668773,0.11382771604052548,24.260679095221704,22.653972045797584
A_t+1,Transformer (t+1),rb_down,0.0009132367629697634,0.0302198074608321,0.015380500566427232,0.5112562347931678,0.09624897015679137,49.930162952237445,44.75112048454684
A_t+1,Transformer (t+1),rb_up,9.829642189346811e-05,0.00991445519902471,0.0057780144034826385,0.5497458267446805,0.11853579031898555,6492.4617811808275,160.47838333891917
A_t+1,Transformer (t+1),down,5258992688830785.0,72518912.62857424,43368290.924967594,0.46690387886316,0.08712955655466119,38.372645384320734,32.95640688637246
A_t+1,Transformer (t+1),up,184832587067419.0,13595314.894014739,7110120.417747443,0.4939067745773532,0.11055224718226472,38912650030038.26,157.67045752274703
