Strategy,Model,Target,MSE,RMSE,MAE,R2,NRMSE,MAPE%,sMAPE%
A_t+1,Seq2Seq LSTM + Clusters + Extra (t+1),rnti_count,0.01481772652716768,0.12172808438141003,0.0947437853776222,0.18257551216494705,0.1609928992770491,33.128631949447204,33.05053507066517
A_t+1,Seq2Seq LSTM + Clusters + Extra (t+1),rb_down,0.005535578042813417,0.07440146532705802,0.03898509062425949,0.6209960193845642,0.07467169897709047,47.006946274031606,39.00652415749253
A_t+1,Seq2Seq LSTM + Clusters + Extra (t+1),rb_up,0.015418475505472802,0.1241711540796525,0.059022230321247045,0.4922184455607256,0.12417115283794097,2532.0979060592135,114.00325793673831
A_t+1,Seq2Seq LSTM + Clusters + Extra (t+1),down,0.003601992736829625,0.06001660384285023,0.04399809435755141,0.5145196653845442,0.0735379081372429,40.448657634170885,31.14277912043769
A_t+1,Seq2Seq LSTM + Clusters + Extra (t+1),up,0.01837334051228658,0.1355482958664054,0.06208481962710963,0.3640696930457792,0.13554829451092246,762.197707496626,95.79541050711012
A_t+1,Transformer + Clusters + Extra (t+1),rnti_count,0.012759109285556083,0.11295622729870224,0.09027044103963396,0.29613977192419505,0.14939157727345803,37.55926699485599,31.266447140960164
A_t+1,Transformer + Clusters + Extra (t+1),rb_down,0.006214412547119498,0.07883154538076428,0.04117402128775215,0.5745183114882539,0.07911786952978875,47.495125491610004,39.285147923464834
A_t+1,Transformer + Clusters + Extra (t+1),rb_up,0.015303539069316304,0.12370747378115966,0.05999760402053528,0.4960036837441336,0.12370747254408494,2000.2118056432741,123.85804637562292
A_t+1,Transformer + Clusters + Extra (t+1),down,0.004060443395513926,0.06372160854462108,0.05051871685471491,0.45272920786723414,0.07807762344869726,49.9595810852227,35.79864517299552
A_t+1,Transformer + Clusters + Extra (t+1),up,0.017619602655451146,0.1327388513414635,0.06293283568291509,0.3901577496155598,0.13273885001407498,901.8210451166711,90.29196730237004
