Strategy,Model,Target,MSE,RMSE,MAE,R2,NRMSE,MAPE%,sMAPE%
A_t+1,Seq2Seq LSTM + Clusters (t+1),rnti_count,2395680.2424056055,1547.7985147962913,1148.1050417865288,0.5791233496637271,0.11334201192114512,25.46613445124748,22.700098500636603
A_t+1,Seq2Seq LSTM + Clusters (t+1),rb_down,0.0008228056176847,0.02868458850471277,0.013473429109291219,0.5596529488006736,0.09135935450708263,42.470901590845514,33.9049910051232
A_t+1,Seq2Seq LSTM + Clusters (t+1),rb_up,8.444126599911598e-05,0.00918919289160457,0.00407061425728514,0.6132104131697702,0.10986465922072064,1145.6279601646609,111.35402417160503
A_t+1,Seq2Seq LSTM + Clusters (t+1),down,4922179419546237.0,70158245.55635807,40430934.9193184,0.5010461296756307,0.08429327746938516,35.77251313438276,30.0676558963099
A_t+1,Seq2Seq LSTM + Clusters (t+1),up,158930746091362.0,12606773.817728389,5678838.077997183,0.5648290424087051,0.10251378405968249,7649607335400.41,94.60967384704382
A_t+1,Transformer + Clusters (t+1),rnti_count,2308011.351379054,1519.2140571292296,1119.0813346081343,0.5945251501798512,0.11124883253720833,23.20687746596338,22.62013102423705
A_t+1,Transformer + Clusters (t+1),rb_down,0.000805280024831415,0.02837745627838082,0.013374842693860526,0.5690322517217936,0.09038114971458927,42.70628494339855,40.67545886626264
A_t+1,Transformer + Clusters (t+1),rb_up,8.518070240839747e-05,0.009229339218405479,0.004030039012976484,0.6098233689343581,0.11034464288903335,2450.844919430706,157.20516226443263
A_t+1,Transformer + Clusters (t+1),down,4782542705565525.0,69155930.37162846,40413591.796147436,0.5152008918127811,0.08308902227018235,36.307312141506536,30.162684638428427
A_t+1,Transformer + Clusters (t+1),up,157845640356302.88,12563663.492640309,5083005.881588968,0.5678001887314061,0.10216322628647906,12482136623294.049,122.75277463532493
