Strategy,Step,Model,Target,MSE,RMSE,MAE,R2,NRMSE,MAPE%,sMAPE%
B(CLU-EXTRA)_t+1,1,Seq2Seq LSTM + Clusters + Extra,rnti_count,3812043.333881087,1952.4454752645686,1519.6335075919073,0.18257547981255606,0.1609929045920712,33.128631949447204,33.05053507066517
B(CLU-EXTRA)_t+1,1,Seq2Seq LSTM + Clusters + Extra,rb_down,0.0004472011733225615,0.021147131562520755,0.0110807339634434,0.620996020368497,0.07467169699289274,47.006946274031606,39.00652415749253
B(CLU-EXTRA)_t+1,1,Seq2Seq LSTM + Clusters + Extra,rb_up,0.00010412632908966903,0.010204230940627963,0.004850373437649468,0.49221844490696076,0.12417113904970414,2532.0979060592135,114.00325793673831
B(CLU-EXTRA)_t+1,1,Seq2Seq LSTM + Clusters + Extra,down,1963377010793758.0,44310010.27751808,32483611.5037115,0.5145196522979186,0.0735379100294428,40.448657634170885,31.14277912043769
B(CLU-EXTRA)_t+1,1,Seq2Seq LSTM + Clusters + Extra,up,268981192967372.75,16400646.114326494,7511943.570929602,0.3640696923726562,0.13554829593814335,762.197707496626,95.79541050711012
B(CLU-EXTRA)_t+2,2,Seq2Seq LSTM + Clusters + Extra,rnti_count,3820068.964321204,1954.4996710977478,1505.45872903775,0.18087265789193752,0.16116228753155618,32.63940351633616,32.81603776144679
B(CLU-EXTRA)_t+2,2,Seq2Seq LSTM + Clusters + Extra,rb_down,0.00046841827047040287,0.021642972773406217,0.01131066734342338,0.6038181280409436,0.07642253986944855,46.117894277056045,39.14400014758921
B(CLU-EXTRA)_t+2,2,Seq2Seq LSTM + Clusters + Extra,rb_up,0.000108039665217502,0.010394213063888097,0.004912352074629883,0.4731457625971017,0.12648295429394443,2710.9567519908223,112.63319377306493
B(CLU-EXTRA)_t+2,2,Seq2Seq LSTM + Clusters + Extra,down,1854611902332199.2,43065205.23963864,31571861.224416375,0.5417723049518788,0.07147200301866918,39.366351878942474,30.49494829676702
B(CLU-EXTRA)_t+2,2,Seq2Seq LSTM + Clusters + Extra,up,274930254772603.7,16581020.920697365,7740382.357221878,0.3500074431217749,0.13703906023262968,1119.0207076388272,98.38149801599263
B(CLU-EXTRA)_t+3,3,Seq2Seq LSTM + Clusters + Extra,rnti_count,3928813.4043139415,1982.1234583935334,1513.3427778445628,0.15756621625113754,0.16344006368916153,32.71635739429345,32.991939800020816
B(CLU-EXTRA)_t+3,3,Seq2Seq LSTM + Clusters + Extra,rb_down,0.0004765505436017388,0.02183003764544942,0.011526099937250851,0.5969407179532553,0.07708307633047766,45.90948555676218,39.74871793863352
B(CLU-EXTRA)_t+3,3,Seq2Seq LSTM + Clusters + Extra,rb_up,0.00011539030046447851,0.010741987733398252,0.005057176118544777,0.43730101723751147,0.13071488290247638,2507.188027754381,111.50844756648016
B(CLU-EXTRA)_t+3,3,Seq2Seq LSTM + Clusters + Extra,down,1788798276404147.8,42294187.264967605,30880751.4394723,0.5580327720019466,0.07019240389203099,37.92163039358411,29.949733710418542
B(CLU-EXTRA)_t+3,3,Seq2Seq LSTM + Clusters + Extra,up,289717981122372.25,17021103.99246689,7798956.440635977,0.3150559168233227,0.14067626513503131,847.4407811367765,97.56988267436965
B(CLU-EXTRA)_t+4,4,Seq2Seq LSTM + Clusters + Extra,rnti_count,3962687.041117003,1990.6499042064136,1513.5037476210364,0.15029522827444264,0.16414312930336336,32.82642317027376,32.93303139613805
B(CLU-EXTRA)_t+4,4,Seq2Seq LSTM + Clusters + Extra,rb_down,0.0004923406785368206,0.02218875117118628,0.01177411809691607,0.5835886389058995,0.078349713728646,46.93707831496998,40.5126934371069
B(CLU-EXTRA)_t+4,4,Seq2Seq LSTM + Clusters + Extra,rb_up,0.000122975579688786,0.011089435499103911,0.00518009873826116,0.40031444567571706,0.13494283355147368,2634.5546859868177,109.19135172943375
B(CLU-EXTRA)_t+4,4,Seq2Seq LSTM + Clusters + Extra,down,1842254324694013.5,42921490.2431639,31444401.00981837,0.5448159847377267,0.07123349031207198,38.44801130073184,30.550167341452294
B(CLU-EXTRA)_t+4,4,Seq2Seq LSTM + Clusters + Extra,up,303782966809260.44,17429370.809333894,7966580.555756174,0.28182240188868035,0.14405051459622,704.0899090233651,99.57836176046536
B(CLU-EXTRA)_t+5,5,Seq2Seq LSTM + Clusters + Extra,rnti_count,4003667.7774175825,2000.9167342539724,1515.892310346541,0.14151239708053853,0.16498970187670792,33.01729415981438,32.92378149429938
B(CLU-EXTRA)_t+5,5,Seq2Seq LSTM + Clusters + Extra,rb_down,0.0005036519222841562,0.022442190674801694,0.011920194057052476,0.5740262857397325,0.07924462270313501,48.01675182917835,40.429219317291434
B(CLU-EXTRA)_t+5,5,Seq2Seq LSTM + Clusters + Extra,rb_up,0.00012905359302191227,0.011360175747844408,0.005317875000383945,0.3706754851304792,0.13823736160246652,2766.8233560433864,105.94141604059466
B(CLU-EXTRA)_t+5,5,Seq2Seq LSTM + Clusters + Extra,down,1881239063175131.2,43373252.85443935,31962600.565224152,0.535185383270665,0.07198324591028939,38.95056013948952,31.048361502233522
B(CLU-EXTRA)_t+5,5,Seq2Seq LSTM + Clusters + Extra,up,316237837867475.25,17783077.28902608,8170830.780757071,0.25237834843121076,0.14697383299784533,605.5746987559394,101.20211817382175
B(CLU-EXTRA)_t+6,6,Seq2Seq LSTM + Clusters + Extra,rnti_count,4068781.350780329,2017.1220465753502,1525.289977018031,0.12757492600935172,0.16632594421150948,33.3088522032584,33.071458229593155
B(CLU-EXTRA)_t+6,6,Seq2Seq LSTM + Clusters + Extra,rb_down,0.0005106165122286196,0.022596825268798703,0.01193064345836355,0.5681440260591712,0.0797906460497731,49.31928285118058,39.93417139570654
B(CLU-EXTRA)_t+6,6,Seq2Seq LSTM + Clusters + Extra,rb_up,0.00013339869459351954,0.011549835262613902,0.005409673969660561,0.34949073773459705,0.14054525115510075,3400.425737143624,104.58120960424668
B(CLU-EXTRA)_t+6,6,Seq2Seq LSTM + Clusters + Extra,down,1881779634307710.8,43379484.025374375,31925455.9964746,0.5350507079128968,0.0719935873045867,38.94595338052778,30.98081981874857
B(CLU-EXTRA)_t+6,6,Seq2Seq LSTM + Clusters + Extra,up,322412919204398.2,17955860.30254185,8272617.388723035,0.2377804733269987,0.14840185253353064,601.7913548328515,100.87217305970711
B(CLU-EXTRA)_t+1,1,Transformer + Clusters + Extra,rnti_count,3282438.6050939234,1811.7501497430387,1447.8837393558692,0.2961397427027933,0.14939158235019465,37.55926699485599,31.266447140960164
B(CLU-EXTRA)_t+1,1,Transformer + Clusters + Extra,rb_down,0.0005020419772150321,0.022406293250223967,0.01170289369621748,0.574518318248415,0.07911786690162272,47.495125491610004,39.285147923464834
B(CLU-EXTRA)_t+1,1,Transformer + Clusters + Extra,rb_up,0.00010335012270108682,0.01016612623869519,0.0049305284060663195,0.4960036862624685,0.12370745841863341,2000.2118056432741,123.85804637562292
B(CLU-EXTRA)_t+1,1,Transformer + Clusters + Extra,down,2213269728910288.5,47045400.720052205,37297760.58734343,0.45272917445668903,0.07807762678867211,49.9595810852227,35.79864517299552
B(CLU-EXTRA)_t+1,1,Transformer + Clusters + Extra,up,257946653733866.12,16060717.72162957,7614549.094077446,0.3901577539649068,0.13273885086812195,901.8210451166711,90.29196730237004
B(CLU-EXTRA)_t+2,2,Transformer + Clusters + Extra,rnti_count,3316237.9277593493,1821.0540705205185,1455.7724960820365,0.2889078221010203,0.1501587562605739,37.91942668160424,31.41220675208394
B(CLU-EXTRA)_t+2,2,Transformer + Clusters + Extra,rb_down,0.00052193217836208,0.022845835033153856,0.011808045850621977,0.5585567846200772,0.08066991336871077,47.749191768437235,39.19802012867243
B(CLU-EXTRA)_t+2,2,Transformer + Clusters + Extra,rb_up,0.00010656772804568369,0.01032316463327422,0.005007184463192618,0.4803236480024491,0.12561839481774778,2002.5749725884164,127.89849121766474
B(CLU-EXTRA)_t+2,2,Transformer + Clusters + Extra,down,2267007853712007.5,47613105.90280797,37925918.47214757,0.4398796955006439,0.0790198033395524,50.599067791498456,36.32057271894957
B(CLU-EXTRA)_t+2,2,Transformer + Clusters + Extra,up,263632540342112.0,16236765.082432892,7771415.939019935,0.37671760019644496,0.1341938496282289,1103.470635699547,94.16465296655207
B(CLU-EXTRA)_t+3,3,Transformer + Clusters + Extra,rnti_count,3363353.296274383,1833.9447364286589,1468.602988629207,0.2788147076790447,0.15122168261266386,38.321598417158256,31.666691821295544
B(CLU-EXTRA)_t+3,3,Transformer + Clusters + Extra,rb_down,0.000536585363989139,0.023164312292600853,0.01197084491376818,0.5461641698451221,0.08179447427411037,48.27996101094474,39.51666733437909
B(CLU-EXTRA)_t+3,3,Transformer + Clusters + Extra,rb_up,0.00010888680892053106,0.010434884231295096,0.0050132479353171035,0.46901519131846214,0.12697786520029222,2348.151853439632,107.56873590084214
B(CLU-EXTRA)_t+3,3,Transformer + Clusters + Extra,down,2345393373157752.0,48429261.538430996,38670673.357307926,0.42051207149903513,0.08037431396427507,52.08333251303934,36.934792440455006
B(CLU-EXTRA)_t+3,3,Transformer + Clusters + Extra,up,267358201407177.44,16351091.74970214,7905513.894524966,0.36791835483191726,0.13513873831252876,1319.0893038761112,98.04078434128628
B(CLU-EXTRA)_t+4,4,Transformer + Clusters + Extra,rnti_count,3400757.320844533,1844.1142374713484,1478.0411032710213,0.2707878030691797,0.15206022972286823,38.47215748161777,31.86545644852044
B(CLU-EXTRA)_t+4,4,Transformer + Clusters + Extra,rb_down,0.0005437360189425442,0.023318147845455998,0.012019728448149967,0.5401195440591257,0.08233767616206251,48.63649834584544,39.663761425490854
B(CLU-EXTRA)_t+4,4,Transformer + Clusters + Extra,rb_up,0.00011212547801706532,0.01058893186384091,0.005077152325549335,0.4532245376789181,0.12885240823174843,2432.468610273151,109.23072403063874
