Strategy,Step,Model,Target,MSE,RMSE,MAE,R2,NRMSE,MAPE%,sMAPE%
B(CLU-EXTRA)_t+6,6,Seq2Seq LSTM + Clusters + Extra,up,0.022023109754504902,0.14840185226103111,0.06837164743153341,0.23778047612621533,0.14840185077701262,601.7913548328515,100.87217305970711
B(CLU-EXTRA)_t+1,1,Transformer + Clusters + Extra,rnti_count,0.012759109285556083,0.11295622729870224,0.09027044103963396,0.29613977192419505,0.14939157727345803,37.55926699485599,31.266447140960164
B(CLU-EXTRA)_t+1,1,Transformer + Clusters + Extra,rb_down,0.006214412547119498,0.07883154538076428,0.04117402128775215,0.5745183114882539,0.07911786952978875,47.495125491610004,39.285147923464834
B(CLU-EXTRA)_t+1,1,Transformer + Clusters + Extra,rb_up,0.015303539069316304,0.12370747378115966,0.05999760402053528,0.4960036837441336,0.12370747254408494,2000.2118056432741,123.85804637562292
B(CLU-EXTRA)_t+1,1,Transformer + Clusters + Extra,down,0.004060443395513926,0.06372160854462108,0.05051871685471491,0.45272920786723414,0.07807762344869726,49.9595810852227,35.79864517299552
B(CLU-EXTRA)_t+1,1,Transformer + Clusters + Extra,up,0.017619602655451146,0.1327388513414635,0.06293283568291509,0.3901577496155598,0.13273885001407498,901.8210451166711,90.29196730237004
B(CLU-EXTRA)_t+2,2,Transformer + Clusters + Extra,rnti_count,0.012890490090662185,0.11353629415593142,0.09076227757651331,0.28890784868193387,0.150158751468258,37.91942668160424,31.41220675208394
B(CLU-EXTRA)_t+2,2,Transformer + Clusters + Extra,rb_down,0.0064606188997172655,0.0803779752153366,0.04154397572133849,0.5585567764510726,0.08066991615398851,47.749191768437235,39.19802012867243
B(CLU-EXTRA)_t+2,2,Transformer + Clusters + Extra,rb_up,0.015779985061914036,0.1256184105213644,0.06093040052563383,0.4803236445470841,0.12561840926518034,2002.5749725884164,127.89849121766474
B(CLU-EXTRA)_t+2,2,Transformer + Clusters + Extra,down,0.004159030863964738,0.06449054864059335,0.05136953835014878,0.4398797269188718,0.07901980015514194,50.599067791498456,36.32057271894957
B(CLU-EXTRA)_t+2,2,Transformer + Clusters + Extra,up,0.01800798939795918,0.13419385007502832,0.06422931103083959,0.3767175960459982,0.13419384873308984,1103.470635699547,94.16465296655207
B(CLU-EXTRA)_t+3,3,Transformer + Clusters + Extra,rnti_count,0.01307363145712856,0.11433998188354133,0.09156221384715181,0.2788147320646376,0.15122167805614295,38.321598417158256,31.666691821295544
B(CLU-EXTRA)_t+3,3,Transformer + Clusters + Extra,rb_down,0.0066419999915891875,0.0814984661916357,0.042116747786288294,0.5461641640138593,0.08179447686688517,48.27996101094474,39.51666733437909
B(CLU-EXTRA)_t+3,3,Transformer + Clusters + Extra,rb_up,0.016123382259330278,0.1269778809845647,0.06100418450987744,0.4690151885346948,0.1269778797147859,2348.151853439632,107.56873590084214
B(CLU-EXTRA)_t+3,3,Transformer + Clusters + Extra,down,0.0043028361661590605,0.06559600724250722,0.052378286583955096,0.42051210668779837,0.08037431053913381,52.08333251303934,36.934792440455006
B(CLU-EXTRA)_t+3,3,Transformer + Clusters + Extra,up,0.01826247866712735,0.13513873858789474,0.06533760575291041,0.36791835225599046,0.13513873723650738,1319.0893038761112,98.04078434128628
B(CLU-EXTRA)_t+4,4,Transformer + Clusters + Extra,rnti_count,0.013219024005939705,0.11497401448127183,0.09215064713192224,0.27078782647878996,0.15206022527113863,38.47215748161777,31.86545644852044
B(CLU-EXTRA)_t+4,4,Transformer + Clusters + Extra,rb_down,0.00673051273438683,0.08203970218367952,0.04228873354708959,0.5401195391470777,0.08233767868281452,48.63649834584544,39.663761425490854
B(CLU-EXTRA)_t+4,4,Transformer + Clusters + Extra,rb_up,0.01660294720791569,0.12885242414450607,0.06178181105131335,0.45322453569953136,0.12885242285598184,2432.468610273151,109.23072403063874
B(CLU-EXTRA)_t+4,4,Transformer + Clusters + Extra,down,0.004288815289533759,0.06548904709593627,0.05190166042995256,0.4223887845398503,0.08024325304955182,51.54038828392825,36.57029595387431
B(CLU-EXTRA)_t+4,4,Transformer + Clusters + Extra,up,0.01870099467569599,0.13675158015794914,0.06570805990340099,0.3527576401813991,0.13675157879043337,1288.2651202932248,97.68619016247783
B(CLU-EXTRA)_t+5,5,Transformer + Clusters + Extra,rnti_count,0.01318721993542036,0.1148356213699406,0.09209906822109325,0.2725460923088209,0.15187719184589082,38.494038146724776,31.852271813146555
B(CLU-EXTRA)_t+5,5,Transformer + Clusters + Extra,rb_down,0.006781543463949906,0.08235012728557198,0.04232671381168626,0.5366375762398266,0.08264923128008597,48.9470795415054,39.44177430579251
B(CLU-EXTRA)_t+5,5,Transformer + Clusters + Extra,rb_up,0.016983048990999068,0.130319027739617,0.06285299582201385,0.4407070643213443,0.13031902643642676,2716.1400445272375,106.66862834933106
B(CLU-EXTRA)_t+5,5,Transformer + Clusters + Extra,down,0.004249113510503564,0.06518522463337503,0.05169565213086136,0.4277379075852479,0.07987098159613266,51.04826104443519,36.43389018466266
B(CLU-EXTRA)_t+5,5,Transformer + Clusters + Extra,up,0.01902764303466819,0.1379407229017892,0.06635737398977058,0.3414529257382577,0.137940721522382,1203.5269141679692,97.63234754101286
B(CLU-EXTRA)_t+6,6,Transformer + Clusters + Extra,rnti_count,0.012956518621286736,0.11382670434167343,0.0915944915465633,0.28529248822061337,0.15054283685019582,38.53602124045208,31.68693825655589
B(CLU-EXTRA)_t+6,6,Transformer + Clusters + Extra,rb_down,0.006846439784039901,0.08274321593967629,0.04243111132559795,0.5322122690068429,0.08304374767195483,49.51965775325197,39.40878030660908
B(CLU-EXTRA)_t+6,6,Transformer + Clusters + Extra,rb_up,0.017308021309901694,0.13155995329089204,0.06348502179507232,0.43000840943186036,0.13155995197529252,2906.2137350802595,103.9281132634863
B(CLU-EXTRA)_t+6,6,Transformer + Clusters + Extra,down,0.004307071151450577,0.06562828011955346,0.052262803317605584,0.4199309018242722,0.0804138542606307,51.94674994645404,36.82270539203432
B(CLU-EXTRA)_t+6,6,Transformer + Clusters + Extra,up,0.019276018130006754,0.13883810042638423,0.06689550837614881,0.3328572792391058,0.13883809903800323,1187.547992406792,98.12155870073734
