Strategy,Model,Target,MSE,RMSE,MAE,R2,NRMSE,MAPE%,sMAPE%
B(CLU-EXTRA)_overall,Seq2Seq LSTM + Clusters + Extra,rnti_count,0.015286639580106887,0.1236391506769069,0.09448733379830138,0.15673253733403814,0.163520402319475,32.93949373223723,32.9644639586939
B(CLU-EXTRA)_overall,Seq2Seq LSTM + Clusters + Extra,rb_down,0.005980312990939118,0.07733248341375776,0.04077827028736721,0.5912420660423601,0.07761336281804247,47.217906517196454,39.795887732303356
B(CLU-EXTRA)_overall,Seq2Seq LSTM + Clusters + Extra,rb_up,0.017595820045071625,0.13264923688084912,0.062318517743963214,0.42052384855152014,0.13264923555435676,2758.6744108297075,109.64314610842642
B(CLU-EXTRA)_overall,Seq2Seq LSTM + Clusters + Extra,down,0.0034282564357546678,0.05855131455189258,0.042952220248647546,0.5382325696310937,0.07174249982731791,39.01352745457444,30.694468298342937
B(CLU-EXTRA)_overall,Seq2Seq LSTM + Clusters + Extra,up,0.020219637338472065,0.14219577116944113,0.06537648803245988,0.3001848227179831,0.14219576974748344,773.3525264807308,98.89990736524442
B(CLU-EXTRA)_overall,Transformer + Clusters + Extra,rnti_count,0.013014332232665606,0.11408037619444286,0.0914065232271463,0.28208139777080876,0.15087833352090962,38.217084827068845,31.62500203876042
B(CLU-EXTRA)_overall,Transformer + Clusters + Extra,rb_down,0.006612587903467098,0.08131782033150604,0.041980217246625456,0.5480257013922551,0.08161317488271372,48.437918985265796,39.41902523740146
B(CLU-EXTRA)_overall,Transformer + Clusters + Extra,rb_up,0.01635015398322951,0.12786772064610172,0.061675336287407685,0.46154687411425466,0.12786771936742453,2400.960170258662,113.19212318959767
B(CLU-EXTRA)_overall,Transformer + Clusters + Extra,down,0.004227885062854271,0.06502218900386444,0.05168777627787305,0.4305269579579931,0.07967121522518905,51.196230110763,36.48015031049523
B(CLU-EXTRA)_overall,Transformer + Clusters + Extra,up,0.0184824544268181,0.13595019097749772,0.06524344912266425,0.36030988564269106,0.13595018961799582,1167.2868352600526,95.98958350240608
