Strategy,Model,Target,MSE,RMSE,MAE,R2,NRMSE,MAPE%,sMAPE%
B(CLU-BASE)_overall,Seq2Seq LSTM + Clusters,rnti_count,0.007655292821511955,0.08749453023767803,0.06580377484281874,0.5104787430257638,0.12227450128387472,28.786790727516543,24.89190082476732
B(CLU-BASE)_overall,Seq2Seq LSTM + Clusters,rb_down,0.010641370085913262,0.1031570166586513,0.050988682870763524,0.4364120593205142,0.10332393337221517,54.65367548538842,40.25606253847021
B(CLU-BASE)_overall,Seq2Seq LSTM + Clusters,rb_up,0.016618911206521373,0.12891435609163696,0.060093483849944354,0.46659861809109626,0.12891435480249344,1730.1763298362794,123.11449901079547
B(CLU-BASE)_overall,Seq2Seq LSTM + Clusters,down,0.008557798607880068,0.09250837047467687,0.05406349164940025,0.3941845342354582,0.09285287684940823,40.91578226324529,33.41300272209949
B(CLU-BASE)_overall,Seq2Seq LSTM + Clusters,up,0.014198815235765236,0.1191587816141355,0.05506440804986298,0.41033271051314624,0.1191587804225477,10987933993349.844,103.75238999030971
B(CLU-BASE)_overall,Transformer + Clusters,rnti_count,0.0072238149806125645,0.08499302901186993,0.06287114595839671,0.5380697940747925,0.11877862772451285,25.08314186117193,24.14878910998948
B(CLU-BASE)_overall,Transformer + Clusters,rb_down,0.01046124017746101,0.10228020423063795,0.049760697067560006,0.445952094423116,0.10244570218807997,50.44915401006514,40.62120888435277
B(CLU-BASE)_overall,Transformer + Clusters,rb_up,0.016938050799123847,0.13014626694271275,0.05688032297576831,0.4563554982139527,0.13014626564125012,2165.1773500295217,156.31343822478806
B(CLU-BASE)_overall,Transformer + Clusters,down,0.008174967013861372,0.09041552418617818,0.05350860943249583,0.4212855810194126,0.09075223668362015,40.649296834178436,33.11408241036712
B(CLU-BASE)_overall,Transformer + Clusters,up,0.013949606941753312,0.11810845415021447,0.04901213806356952,0.42068216409836534,0.11810845296912995,9651760203233.492,113.28661177820236
