Strategy,Model,Target,MSE,RMSE,MAE,R2,NRMSE,MAPE%,sMAPE%
A_t+1,Seq2Seq LSTM + Clusters (t+1),rnti_count,0.00657766597915054,0.08110281116675636,0.060159345484710136,0.5791233634584447,0.11334200847980433,25.46613445124748,22.700098500636603
A_t+1,Seq2Seq LSTM + Clusters (t+1),rb_down,0.008319586705757977,0.09121176846086242,0.04284305108100324,0.5596529463116626,0.09135935675997167,42.470901590845514,33.9049910051232
A_t+1,Seq2Seq LSTM + Clusters (t+1),rb_up,0.012070246239982521,0.1098646723928239,0.0486676802306171,0.613210412910357,0.10986467129417721,1145.6279601646609,111.35402417160503
A_t+1,Seq2Seq LSTM + Clusters (t+1),down,0.007052729218417145,0.08398052880529597,0.048396468474415234,0.5010461250030444,0.08429327701800667,35.77251313438276,30.0676558963099
A_t+1,Seq2Seq LSTM + Clusters (t+1),up,0.010509075820555863,0.10251378356375236,0.046178283405431425,0.5648290466191513,0.10251378253861454,7649607335400.41,94.60967384704382
A_t+1,Transformer + Clusters (t+1),rnti_count,0.006336959303046726,0.0796050205894498,0.058638538653835524,0.5945251513498928,0.11124883082206567,23.20687746596338,22.62013102423705
A_t+1,Transformer + Clusters (t+1),rb_down,0.008142381196750427,0.09023514391161809,0.04252956408814289,0.5690322492204011,0.09038115195021355,42.70628494339855,40.67545886626264
A_t+1,Transformer + Clusters (t+1),rb_up,0.012175943164567703,0.11034465625741785,0.048182568498464196,0.6098233676915508,0.11034465515397134,2450.844919430706,157.20516226443263
A_t+1,Transformer + Clusters (t+1),down,0.006852651268870415,0.08278074213771229,0.04837570858846698,0.5152008819965634,0.08308902227739155,36.307312141506536,30.162684638428427
A_t+1,Transformer + Clusters (t+1),up,0.01043732476980776,0.10216322611295985,0.0413331889842359,0.5678001901995464,0.1021632250913276,12482136623294.049,122.75277463532493
