Strategy,Model,Target,MSE,RMSE,MAE,R2,NRMSE,MAPE%,sMAPE%
B(CLU-BASE)_overall,Seq2Seq LSTM + Clusters,rnti_count,2788167.388989608,1669.7806409794096,1255.8255914663498,0.51047872654317,0.12227450505112673,28.786790727516543,24.89190082476732
B(CLU-BASE)_overall,Seq2Seq LSTM + Clusters,rb_down,0.001052429586305478,0.032441171161126076,0.016035095226743,0.43641205552726836,0.1033239314640097,54.65367548538842,40.25606253847021
B(CLU-BASE)_overall,Seq2Seq LSTM + Clusters,rb_up,0.00011626290566308209,0.010782527795609065,0.005026280091343888,0.46659861916202006,0.12891434054941095,1730.1763298362794,123.11449901079547
B(CLU-BASE)_overall,Seq2Seq LSTM + Clusters,down,5972584276778505.0,77282496.57444113,45165227.34575538,0.3941845477618693,0.0928528767448035,40.91578226324529,33.41300272209949
B(CLU-BASE)_overall,Seq2Seq LSTM + Clusters,up,214731374393514.62,14653715.378480457,6771621.49162926,0.4103327059785211,0.11915878207230947,10987933993349.844,103.75238999030971
B(CLU-BASE)_overall,Transformer + Clusters,rnti_count,2631016.8958051694,1622.0409661303777,1199.8581075699542,0.5380697922201461,0.11877862962281706,25.08314186117193,24.14878910998948
B(CLU-BASE)_overall,Transformer + Clusters,rb_down,0.0010346147703565486,0.032165428185499854,0.015648914125175665,0.4459520909200997,0.10244570027519781,50.44915401006514,40.62120888435277
B(CLU-BASE)_overall,Transformer + Clusters,rb_up,0.00011849554860992161,0.010885566067500652,0.004757528035007678,0.45635549970813793,0.13014625120376272,2165.1773500295217,156.31343822478806
B(CLU-BASE)_overall,Transformer + Clusters,down,5705401788698126.0,75534110.10065669,44701672.81000803,0.42128559353126094,0.09075223661348716,40.649296834178436,33.11408241036712
B(CLU-BASE)_overall,Transformer + Clusters,up,210962549117705.7,14524549.876595339,6027335.221390305,0.4206821624019377,0.11810845432314411,9651760203233.492,113.28661177820236
