Strategy,Step,Model,Target,MSE,RMSE,MAE,R2,NRMSE,MAPE%,sMAPE%
B(CLU-BASE)_t+1,1,Seq2Seq LSTM + Clusters,rnti_count,0.00657766597915054,0.08110281116675636,0.060159345484710136,0.5791233634584447,0.11334200847980433,25.46613445124748,22.700098500636603
B(CLU-BASE)_t+1,1,Seq2Seq LSTM + Clusters,rb_down,0.008319586705757977,0.09121176846086242,0.04284305108100324,0.5596529463116626,0.09135935675997167,42.470901590845514,33.9049910051232
B(CLU-BASE)_t+1,1,Seq2Seq LSTM + Clusters,rb_up,0.012070246239982521,0.1098646723928239,0.0486676802306171,0.613210412910357,0.10986467129417721,1145.6279601646609,111.35402417160503
B(CLU-BASE)_t+1,1,Seq2Seq LSTM + Clusters,down,0.007052729218417145,0.08398052880529597,0.048396468474415234,0.5010461250030444,0.08429327701800667,35.77251313438276,30.0676558963099
B(CLU-BASE)_t+1,1,Seq2Seq LSTM + Clusters,up,0.010509075820555863,0.10251378356375236,0.046178283405431425,0.5648290466191513,0.10251378253861454,7649607335400.41,94.60967384704382
B(CLU-BASE)_t+2,2,Seq2Seq LSTM + Clusters,rnti_count,0.007231958486785749,0.08504092242435843,0.06385620362297119,0.5373773564579292,0.11884555925852881,27.660983166284474,24.161698723090446
B(CLU-BASE)_t+2,2,Seq2Seq LSTM + Clusters,rb_down,0.009311046767839583,0.0964937654350766,0.04677746536843363,0.5070301951612034,0.0966499004487434,49.09018941173601,37.19428310806467
B(CLU-BASE)_t+2,2,Seq2Seq LSTM + Clusters,rb_up,0.014151070260166652,0.11895827108766609,0.054106942264139486,0.5461512592237795,0.11895826989808342,1744.54851081334,119.30607886915894
B(CLU-BASE)_t+2,2,Seq2Seq LSTM + Clusters,down,0.007696732335256233,0.08773102265023607,0.05092340986804031,0.45539843001627245,0.08805773791296984,38.38189195612875,31.74245838946545
B(CLU-BASE)_t+2,2,Seq2Seq LSTM + Clusters,up,0.012285225572776589,0.11083873678807689,0.05025601669464239,0.490552573984793,0.11083873567968953,11540887549523.562,100.82285134123126
